Date,BUGZ,BURZ,CABN,CABZ,CRWZ,DONZ,FNGZ,GRNZ,PI2Z,PIEZ,PPOE,PPON,PPOZ,QADZ,UBOZ,Station Count
1991-05-01,False,False,False,1.0,False,False,False,False,False,1.0,False,False,False,False,1.0,3.0
1991-05-02,False,False,False,1.0,False,False,False,False,False,1.0,False,False,False,False,1.0,3.0
1991-05-03,False,False,False,1.0,False,False,False,False,False,1.0,False,False,False,False,1.0,3.0
1991-05-04,False,False,False,1.0,False,False,False,False,False,1.0,False,False,1.0,False,1.0,4.0
1991-05-05,False,False,False,1.0,False,False,False,False,False,1.0,False,False,1.0,False,1.0,4.0
1991-05-06,False,False,False,1.0,False,False,False,False,False,1.0,False,False,1.0,False,1.0,4.0
1991-05-07,False,1.0,False,1.0,False,False,False,False,False,1.0,False,False,1.0,False,1.0,5.0
1991-05-08,False,1.0,False,1.0,False,False,False,False,False,1.0,False,False,1.0,False,1.0,5.0
1991-05-09,False,1.0,False,1.0,False,False,False,False,False,1.0,False,False,1.0,False,1.0,5.0
1991-05-10,False,1.0,False,1.0,False,False,False,False,False,1.0,False,False,1.0,False,1.0,5.0
1991-05-11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1991-05-12,False,1.0,False,1.0,False,False,False,False,False,1.0,False,False,1.0,False,1.0,5.0
1991-05-13,False,1.0,False,1.0,False,False,False,False,False,1.0,1.0,1.0,1.0,False,1.0,7.0
1991-05-14,False,1.0,False,1.0,False,False,False,False,False,1.0,1.0,1.0,1.0,False,1.0,7.0
1991-05-15,False,1.0,False,1.0,False,False,False,False,False,1.0,1.0,1.0,1.0,False,1.0,7.0
1991-05-16,1.0,1.0,False,1.0,False,False,False,1.0,False,1.0,1.0,1.0,1.0,False,1.0,9.0
1991-05-17,1.0,1.0,False,1.0,False,False,False,1.0,False,1.0,1.0,1.0,1.0,False,1.0,9.0
1991-05-18,1.0,False,False,1.0,False,False,False,1.0,False,1.0,False,False,False,False,1.0,5.0
1991-05-19,1.0,False,False,1.0,False,False,False,1.0,False,1.0,False,False,False,False,1.0,5.0
1991-05-20,1.0,1.0,False,1.0,False,False,False,1.0,False,1.0,1.0,1.0,1.0,False,1.0,9.0
1991-05-21,1.0,1.0,False,1.0,False,False,False,1.0,False,1.0,1.0,1.0,1.0,False,1.0,9.0
1991-05-22,1.0,1.0,False,1.0,False,False,False,1.0,False,1.0,1.0,1.0,1.0,False,1.0,9.0
1991-05-23,1.0,1.0,False,1.0,False,False,False,1.0,False,1.0,1.0,1.0,1.0,False,1.0,9.0
1991-05-24,1.0,1.0,False,1.0,False,False,False,1.0,False,1.0,1.0,1.0,1.0,False,1.0,9.0
1991-05-25,False,1.0,False,1.0,False,False,False,1.0,False,1.0,1.0,1.0,1.0,False,1.0,8.0
1991-05-26,False,1.0,False,1.0,False,False,False,1.0,False,1.0,1.0,1.0,1.0,False,1.0,8.0
1991-05-27,False,1.0,False,1.0,False,False,False,1.0,False,1.0,1.0,1.0,1.0,False,1.0,8.0
1991-05-28,1.0,1.0,False,1.0,False,False,False,1.0,False,1.0,1.0,1.0,1.0,False,1.0,9.0
1991-05-29,False,1.0,False,False,False,False,False,1.0,False,1.0,1.0,1.0,1.0,False,1.0,7.0
1991-05-30,1.0,1.0,False,1.0,False,False,False,1.0,False,1.0,1.0,1.0,1.0,False,1.0,9.0
1991-05-31,1.0,1.0,False,1.0,False,False,False,1.0,False,1.0,1.0,1.0,1.0,False,1.0,9.0
1991-06-01,1.0,1.0,False,1.0,False,False,False,1.0,False,1.0,1.0,1.0,1.0,False,1.0,9.0
1991-06-02,1.0,1.0,False,False,False,False,False,1.0,False,1.0,1.0,1.0,1.0,False,1.0,8.0
1991-06-03,1.0,1.0,False,1.0,False,False,False,1.0,False,1.0,1.0,1.0,1.0,False,1.0,9.0
1991-06-04,1.0,1.0,False,1.0,False,False,False,1.0,False,1.0,1.0,1.0,1.0,False,1.0,9.0
1991-06-05,1.0,1.0,False,1.0,False,False,False,1.0,False,1.0,1.0,1.0,1.0,False,1.0,9.0
1991-06-06,1.0,1.0,False,1.0,False,False,False,1.0,False,1.0,1.0,1.0,1.0,False,1.0,9.0
1991-06-07,1.0,1.0,False,1.0,False,False,False,1.0,False,1.0,1.0,1.0,1.0,False,1.0,9.0
1991-06-08,1.0,1.0,False,1.0,False,False,False,1.0,False,1.0,1.0,1.0,1.0,False,1.0,9.0
1991-06-09,1.0,1.0,False,1.0,False,False,False,1.0,False,1.0,1.0,1.0,1.0,False,1.0,9.0
1991-06-10,1.0,1.0,False,1.0,False,False,False,1.0,False,1.0,1.0,1.0,1.0,False,1.0,9.0
1991-06-11,1.0,1.0,False,1.0,False,False,False,1.0,False,1.0,1.0,1.0,1.0,False,1.0,9.0
1991-06-12,1.0,1.0,False,1.0,False,False,False,1.0,False,1.0,1.0,1.0,1.0,False,1.0,9.0
1991-06-13,1.0,1.0,False,1.0,False,False,False,1.0,False,1.0,1.0,1.0,1.0,False,1.0,9.0
1991-06-14,1.0,1.0,False,1.0,False,False,False,1.0,False,1.0,1.0,1.0,1.0,False,1.0,9.0
1991-06-15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1991-06-16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1991-06-17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1991-06-18,1.0,False,False,1.0,False,False,False,False,False,1.0,1.0,1.0,1.0,False,False,6.0
1991-06-19,1.0,1.0,False,1.0,False,False,False,False,False,1.0,1.0,1.0,1.0,False,False,7.0
